file,year,errors,xmlfiles
../Data/NSF-Downloads-8july2024/2024.zip,2024,True,8199
../Data/NSF-Downloads-8july2024/2023.zip,2023,True,11130
../Data/NSF-Downloads-8july2024/2022.zip,2022,True,11473
../Data/NSF-Downloads-8july2024/2021.zip,2021,True,12652
../Data/NSF-Downloads-8july2024/2020.zip,2020,True,13300
../Data/NSF-Downloads-8july2024/2019.zip,2019,True,13043
../Data/NSF-Downloads-8july2024/2018.zip,2018,True,12235
../Data/NSF-Downloads-8july2024/2017.zip,2017,True,12289
../Data/NSF-Downloads-8july2024/2016.zip,2016,True,12594
../Data/NSF-Downloads-8july2024/2015.zip,2015,True,13072
../Data/NSF-Downloads-8july2024/2014.zip,2014,True,12109
../Data/NSF-Downloads-8july2024/2013.zip,2013,True,11502
../Data/NSF-Downloads-8july2024/2012.zip,2012,True,12165
../Data/NSF-Downloads-8july2024/2011.zip,2011,True,11652
../Data/NSF-Downloads-8july2024/2010.zip,2010,True,13094
../Data/NSF-Downloads-8july2024/2009.zip,2009,True,15430
../Data/NSF-Downloads-8july2024/2008.zip,2008,True,12612
../Data/NSF-Downloads-8july2024/2007.zip,2007,True,12223
../Data/NSF-Downloads-8july2024/2006.zip,2006,True,11063
../Data/NSF-Downloads-8july2024/2005.zip,2005,True,10730
../Data/NSF-Downloads-8july2024/2004.zip,2004,True,10721
../Data/NSF-Downloads-8july2024/2003.zip,2003,True,11556
../Data/NSF-Downloads-8july2024/2002.zip,2002,True,10955
../Data/NSF-Downloads-8july2024/2001.zip,2001,True,9848
../Data/NSF-Downloads-8july2024/2000.zip,2000,True,10370
