AwardID,teams,hub,site,node,AwardTitle,Agency,AwardEffectiveDate,AwardExpirationDate,AwardTotalIntnAmount,AwardAmount,AwardInstrument,Organization_Code,Directorate_Abbreviation,Directorate_LongName,Division_Abbreviation,Division_LongName,Year,sbir,sbir_1,sbir_2,sttr,sttr_1,sttr_2
1937340,,,1,,Advance & I-Corps Joint Program,NSF,10/1/19,12/31/22,529996,635968,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2019,0,0,0,0,0,0
1644861,,,1,,AstroGro STEM K-12 Education Program for I-Corps L,NSF,9/15/16,8/31/17,50000,50000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2016,0,0,0,0,0,0
2035165,,,1,,Bridging the STEM Entrepreneurial Gap for Under-Represented Minority Women By Using the NSF I-Corps' Program Methodology,NSF,10/1/20,3/31/22,300000,300000,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2020,0,0,0,0,0,0
1933486,,,1,,Broadening Participation - I-Corps Northeast Regional Inclusion Summit,NSF,10/1/19,5/31/23,171116,171116,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2019,0,0,0,0,0,0
1240409,,,,1,Building a US innovation network (I-Corps) node in Michigan,NSF,7/1/12,12/31/17,1499997,1924737,Continuing Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2012,0,0,0,0,0,0
2011135,,,1,,"EAGER HBCU: Feasibility Study for International Research, Education and Workforce Development on Sustainable Bio-materials Using NSF I-Corps Framework",NSF,9/15/19,7/31/23,132619,132619,Standard Grant,7020000,ENG,Directorate For Engineering,CBET,"Div Of Chem, Bioeng, Env, & Transp Sys",2020,0,0,0,0,0,0
1743679,,,1,,"EAGER HBCU: Feasibility Study for International Research, Education and Workforce Development on Sustainable Bio-materials Using NSF I-Corps Framework",NSF,8/1/17,1/31/20,200000,200000,Standard Grant,7020000,ENG,Directorate For Engineering,CBET,"Div Of Chem, Bioeng, Env, & Transp Sys",2017,0,0,0,0,0,0
1938799,,,1,,EAGER:  Inclusive Innovation - Increasing the Participation of women and underrepresented minorities in the NSF I-Corps? Program,NSF,9/1/19,8/31/22,299159,299159,Standard Grant,15030000,TIP,"Dir for Tech, Innovation, & Partnerships",TI,Translational Impacts,2019,0,0,0,0,0,0
1549578,,,1,,EAGER: Curriculum Development for I-Corps PNP Pilot Program,NSF,8/15/15,11/30/16,299717,299717,Standard Grant,4050000,SBE,"Direct For Social, Behav & Economic Scie",SES,Divn Of Social and Economic Sciences,2015,0,0,0,0,0,0
1451245,,,1,,EAGER: I-Corps for Learning (I-Corps-L): Curriculum Development and Implementation,NSF,9/1/14,8/31/17,296880,296880,Standard Grant,11040200,EDU,Directorate for STEM Education,DUE,Division Of Undergraduate Education,2014,0,0,0,0,0,0
