Institution_OrgUEINum_C,Sum,Count,Institution_Name_C
GNJ7BBP73WE9,2013852642.0,4689,Regents of the University of Michigan - Ann Arbor
HD1WMN6945W6,2095012094.0,4214,University of Washington
Y8CWNJRCNN91,2623375037.0,4069,University of Illinois at Urbana-Champaign
NPM2J7MSCF61,1487658677.0,3861,Pennsylvania State Univ University Park
GS3YEVSS12N6,1879912830.0,3758,University of California-Berkeley
EMW9FC8J3HN4,1456393755.0,3650,Georgia Tech Research Corporation
V6AFQPN18437,1807728466.0,3555,University of Texas at Austin
SPVKK1RC2MZ3,1651173076.0,3409,University of Colorado at Boulder
F4N1QNPB95M4,1876394482.0,3321,Columbia University
KABJZBBJ4B54,1451134473.0,3171,University of Minnesota-Twin Cities
YRXVL4JYCEF5,1383358633.0,3153,Purdue University
NPU8ULVAAS23,1266073057.0,3059,"University of Maryland, College Park"
LCLSJAGTNZQ7,1838314057.0,3041,University of Wisconsin-Madison
NTLHJXM55KZ6,1342365126.0,3015,Arizona State University
RN64EPNH8JC6,1378147234.0,2918,University of California-Los Angeles
U3NKNFLNQ613,1239999884.0,2732,Carnegie-Mellon University
HJD6G4D6TJY5,1198918912.0,2703,Stanford University
ED44Y3W6P7B9,1124871853.0,2672,University of Arizona
E2NYLCDML6V1,1357922061.0,2630,Massachusetts Institute of Technology
UYTTZT6G9DT1,1426386678.0,2626,University of California-San Diego
G56PUALJ3KT5,2103520731.0,2625,Cornell University
NNFQH1JAPEP3,958928533.0,2596,University of Florida
TX2DAGQPENZ5,1040717464.0,2490,University of California-Davis
QDE5UHE5XD16,954608581.0,2476,Virginia Polytechnic Institute and State University
M1LVPE5GLSD9,997148374.0,2388,Rutgers University New Brunswick
U3NVH931QJJ3,1026914342.0,2378,North Carolina State University
R28EKN92ZTZ9,1521492486.0,2347,Michigan State University
EXZVPWZBLUE8,1022871404.0,2347,Northwestern University
NJ1YPQXQG7U5,1179900774.0,2195,Princeton University
MJC5FCYQTPE6,955822864.0,2172,University of California-Irvine
G88KLJR3KYT5,966191937.0,2166,University of Southern California
TP7EK8DZV6N5,916814501.0,2084,Duke University
LN53LCFJFL45,962479658.0,2074,Harvard University
YH86RTW2YVJ4,803552103.0,2014,Indiana University
MZ4DYXE1SL98,1014575061.0,1941,Oregon State University
ZUE9HKT2CLC9,1206484148.0,1892,University of Chicago
VGJHK59NMPK9,823556758.0,1857,University of Massachusetts Amherst
FL6GV84CKN57,660130218.0,1813,Yale University
FTMTDMBR29C7,812368606.0,1774,Johns Hopkins University
NX9PXMKW5KW8,690153431.0,1771,New York University
LL8GLEVH6MG3,757786185.0,1771,University of Utah
GFKFBWG2TV98,1944754197.0,1768,Woods Hole Oceanographic Institution
G9QBQDH39DF4,1019802767.0,1715,University of California-Santa Barbara
M746VC6XMNH9,694691930.0,1702,SUNY at Stony Brook
MKAGLD59JRL1,562884232.0,1692,University of Pittsburgh
DQDBM7FGJPC5,706580218.0,1679,Iowa State University
D3LHU66KBLD5,703600748.0,1656,University of North Carolina at Chapel Hill
JJG6HU8PA4S5,597256809.0,1613,University of Virginia Main Campus
NSCKLFSSABF2,836109925.0,1560,University of Hawaii
DLWBSLWAJWR1,821057969.0,1549,Ohio State University
E3FDXZ6TBHW3,564577266.0,1508,Brown University
U2JMKHNS5TG4,1861986977.0,1485,California Institute of Technology
T72NHKM259N3,681594682.0,1456,University of Delaware
MR5QC5FCAVH5,561903721.0,1454,University of California-Riverside
GM1XX56LEP58,764654139.0,1444,University of Pennsylvania
NMJHD63STRC5,607677817.0,1442,University of Georgia Research Foundation Inc
WNTPS995QBM7,459620956.0,1430,University of Connecticut
QD1MX6N5YTN4,492053864.0,1412,Texas A&M Engineering Experiment Station
THL6A6JLE1S7,559921452.0,1348,Trustees of Boston University
FPU6XGFXMBE9,570255475.0,1338,University of Notre Dame
VXUFPE4MCZH5,411674108.0,1320,University of California-Santa Cruz
W8XEAJDKMXH3,491492060.0,1309,University of Illinois at Chicago
LMCJKRFW5R81,526408958.0,1282,SUNY at Buffalo
K51LECU1G8N3,661551354.0,1279,William Marsh Rice University
L6NFUM28LQM5,432010254.0,1256,Washington University
LT9CXX8L19G1,612298242.0,1243,Colorado State University
HLTMVS2JZBS6,656281505.0,1234,Northeastern University
HTQ6K6NJFHA6,555432126.0,1231,University of Nebraska-Lincoln
ECQEYCHRNKJ4,388607889.0,1225,Louisiana State University
JF2BLNN4PJC3,1166836211.0,1196,Florida State University
F6XLTRUQJEN4,558989604.0,1165,University of New Mexico
QJ8HMDK7MRM3,846678356.0,1122,University of California-San Diego Scripps Inst of Oceanography
FDLEQSJ8FF63,941431730.0,1090,University of Alaska Fairbanks Campus
GTNBNWXJ12D5,445393118.0,1082,Vanderbilt University
H2BMNX7DSKU8,432044085.0,1063,Clemson University
U5WBFKEBLMX3,344652340.0,1038,Rensselaer Polytechnic Institute
SSUJB3GSH8A5,468997776.0,1035,University of Kansas Center for Research Inc
Z3FGN9MF92U2,398776013.0,1030,University of Oregon Eugene
FN2YCS2YAUW3,561453927.0,1019,University of Tennessee Knoxville
H1HYA8Z1NTM5,442859401.0,1012,University of Kentucky Research Foundation
QKWEF8XLMTT3,335154313.0,1006,University of Houston
SZPJL5ZRCLF4,444869695.0,987,University of Missouri-Columbia
NKAZLXLL7Z91,312641850.0,968,University of South Florida
EVTSTTLCEWS5,355670335.0,967,University of Oklahoma Norman Campus
Z1H9VJS8NG16,283429054.0,943,University of Iowa
RD7MXJV7DKT9,334364418.0,930,The University of Central Florida Board of Trustees
XL5ANMKWN557,15616057.0,927,Gordon Research Conferences
F27KDXZMF9Y8,382434050.0,896,University of Rochester
XF3XM9642N96,306582894.0,880,Drexel University
JF6XLNB4CDJ5,348790385.0,861,Texas A&M University
XRJSGX384TD6,310949217.0,816,Washington State University
C4BXLBC11LC6,287424627.0,807,Syracuse University
EJCVPNN1WFS5,248469985.0,771,University of Texas at Dallas
EB8ASJBCFER9,320847709.0,755,Dartmouth College
ECR5E2LU5BL6,224218856.0,746,George Washington University
PKFJZHG2MLG9,266979943.0,736,National Academy of Sciences
EQH8NQ4AXFT7,907920849.0,735,Texas A&M Research Foundation
RCNJEHZ83EV6,278830262.0,728,University of Alabama Tuscaloosa
GBNGC495XA67,324244359.0,726,University of New Hampshire
DZ4YCZ3QSPR5,231815690.0,724,University of Cincinnati Main Campus
CFMMM5JM7HJ9,275295111.0,709,Kansas State University
QR7NH79713E5,242643362.0,709,Ohio State University Research Foundation -DO NOT USE
DMQNDJDHTDG4,257680345.0,704,Auburn University
MECEHTM8DB17,251093054.0,702,University of Arkansas
EADLFP7Z72E5,255646464.0,685,George Mason University
Q3KCVK5S9CP1,317057466.0,671,Florida International University
WLDGTNCFFJZ3,234431428.0,651,"Board of Regents, NSHE, obo University of Nevada, Reno"
QD4MGHFDJKU1,241828865.0,641,Temple University
EJ3UF7TK8RT5,320166157.0,640,Montana State University
CJDNG9D14MW7,343048494.0,637,University of Rhode Island
University of Wisconsin-Madison,171292597.0,633,University of Wisconsin-Madison
LMLUKUPJJ9N3,192606743.0,633,University of Texas at Arlington
WL9FLBRVPJJ7,232128416.0,632,Tufts University
EGLKRQ5JBCZ7,218660442.0,630,Texas Tech University
PB3AJE5ZEJ59,318532671.0,616,University of Maine
JB33DT84JNA5,184674912.0,607,University of North Carolina at Charlotte
E13MDBKHLDB5,231699312.0,606,Lehigh University
FDR5YF2K32X5,320569554.0,601,University of Wyoming
M6K6NTJ2MNE5,189510897.0,591,Wayne State University
JW2NGMP4NMA3,223276648.0,589,Colorado School of Mines
SGBMHQ7VXNH5,213055731.0,583,New Jersey Institute of Technology
NNYDFK5FTSX9,252646770.0,578,Oklahoma State University
S352L5PJLMP8,232258870.0,575,Emory University
RNKYWXURFRL5,238111812.0,574,University of Maryland Baltimore County
J22LNTMEDP73,233592429.0,572,University of South Carolina at Columbia
GKMSN3DA6P91,189812211.0,572,Michigan Technological University
J6TWTRKC1X14,192593154.0,567,Rochester Institute of Tech
HJMKEF7EJW69,220960009.0,560,Case Western Reserve University
H59JKGFZKHL7,199762939.0,560,San Diego State University Foundation
GT28BRBA2Q49,150178996.0,550,National Bureau of Economic Research Inc
G47WN1XZNWX9,149785772.0,548,University of North Texas
SPE2YDWHDYU4,234214449.0,548,Utah State University
Y6MGH342N169,133731728.0,545,Missouri University of Science and Technology
ELBVJ1KYX976,136464302.0,539,University South Carolina Research Foundation
M7PNRH24BBM8,204094123.0,530,West Virginia University Research Corporation
XNY5ULPU8EN6,147512434.0,511,Tulane University
DSLXBD7UWRV6,148778442.0,488,Old Dominion University Research Foundation
NQMVAAQUFU53,156649310.0,484,SUNY at Binghamton
H4CAHK2RD945,152435994.0,483,Portland State University
HJNQME41NBU4,173817977.0,481,Worcester Polytechnic Institute
MNS7B9CVKDN7,187650715.0,470,"Georgia State University Research Foundation, Inc."
KXN7HGCF6K91,217969763.0,467,University of Miami
JBQ9M3PLFDP5,204966489.0,459,University of Wisconsin-Milwaukee
L952KGDMSLV5,198809645.0,458,CUNY City College
YEZEE8W5JKA3,1205272734.0,453,University Corporation For Atmospheric Res
NTXJM52SHKS7,215274025.0,446,Mississippi State University
JWSYC7RUMJD1,136189686.0,444,Brigham Young University
MXHAS3AKPRN1,181127243.0,444,Northern Arizona University
MJ3JH8CRJBZ7,149558781.0,441,Boston College
DFNLDECWM8J8,114540501.0,435,University of Akron
J3M5GZAT8N85,202376776.0,435,New Mexico State University
U44ZMVYU52U6,149843748.0,432,University of Texas at San Antonio
C1DEGMMKC7W7,254016960.0,430,University of Texas at El Paso
MLQFL4JSSAA9,133336806.0,410,Virginia Commonwealth University
DAY7Z8ZD48Q3,188920134.0,407,University of Montana
Z94KLERAG5V9,207972517.0,403,University of Vermont & State Agricultural College
EVWJPCY6AD97,114848016.0,393,College of William and Mary
JJ6CN5Y5A2R5,140477254.0,382,Stevens Institute of Technology
TF2CMKY1HMX9,134812181.0,382,Georgetown University
LTNVSTJ3R6D5,117264387.0,380,University of Massachusetts Lowell
NHH3T1Z96H29,146514571.0,380,SUNY at Albany
HYWTVM5HNFM3,168045377.0,378,Boise State University
QWYKRJH5NNJ3,284286845.0,374,Regents of the University of Idaho
FFM7VPAG8P92,167068450.0,374,University of California - Merced
YND4PLMC9AN7,160865583.0,366,University of Alabama at Birmingham
RQMFJGDTQ5V3,102304435.0,358,University of Miami
SKH5GMBR9GL3,184231769.0,348,North Carolina Agricultural & Technical State University
E2NDENMDUEG8,107565769.0,338,Illinois Institute of Technology
EZ4WPGRE1RD5,216976988.0,328,North Dakota State University Fargo
SRG2J1WS9X63,336063390.0,328,SRI International
LJBXV5VF2BT9,105638407.0,320,San Jose State University Foundation
D33QGS3Q3DJ3,81453577.0,315,Southern Methodist University
DLUTVJJ15U66,109026621.0,306,University of Nevada Las Vegas
Cornell University,224306179.0,301,Cornell University
