Institution_OrgUEINum,Institution_Name,Research
H4VNDUN2VWU5,american university,R2
NTLHJXM55KZ6,arizona state university,R1
DMQNDJDHTDG4,auburn university,R1
TNQMP46NDSL1,azusa pacific university,R2
KDP6QKY6QLM1,ball state university,R2
C6T9BYG5EYX5,baylor university,R1
HYWTVM5HNFM3,boise state university,R2
MJ3JH8CRJBZ7,boston college,R1
MXLZGAMFEKN5,brandeis university,R1
JWSYC7RUMJD1,brigham young university,R2
E3FDXZ6TBHW3,brown university,R1
U2JMKHNS5TG4,california institute of technology,R1
Q4V7X8BCUSH3,california state university-fullerton,R2
P2TDH1JCJD31,california state university-long beach,R2
HJMKEF7EJW69,case western reserve university,R1
JJDYK36PRTL5,central michigan university,R2
EN9DMTETW3N1,chapman university,R2
N34CXJCDNDU1,claremont graduate university,R2
JGA3E25MFDV9,clark atlanta university,R2
LD3WUVEUK2N5,clark university,R2
SL2PF6R7MRN1,clarkson university,R2
H2BMNX7DSKU8,clemson university,R1
YKGMTXA2NVL6,cleveland state university,R2
JW2NGMP4NMA3,colorado school of mines,R1
NH64NT271S93,creighton university,R2
L952KGDMSLV5,cuny city college,R2
EB8ASJBCFER9,dartmouth college,R1
MNZ8KMRWTDB6,depaul university,R2
XF3XM9642N96,drexel university,R1
TP7EK8DZV6N5,duke university,R1
NGYSJ2L1LZX3,duquesne university,R2
HWPEKM8VFTJ9,east carolina university,R2
V5LLVC627U34,east tennessee state university,R2
STFNT4KCCDU3,eastern michigan university,R2
S352L5PJLMP8,emory university,R1
W8LKB16HV1K5,florida agricultural and mechanical university,R2
Q266L2NDAVP1,florida atlantic university,R2
WNN6VH618X58,florida institute of technology,R2
Q3KCVK5S9CP1,florida international university,R1
JF2BLNN4PJC3,florida state university,R1
WEUJG9RND395,florida state university,R1
ECESTN2SSVH1,fordham university,R2
EADLFP7Z72E5,george mason university,R1
ECR5E2LU5BL6,george washington university,R1
TF2CMKY1HMX9,georgetown university,R1
DMDVPTGMLTS5,georgia southern university,R2
SNQ6M7S6TK89,georgia state university,R1
LN53LCFJFL45,harvard university,R1
DYZNJGLTHMR9,howard university,R2
JJC9GJJJL4M7,idaho state university,R2
E2NDENMDUEG8,illinois institute of technology,R2
DQDBM7FGJPC5,iowa state university,R1
WFVHMSF6BU45,jackson state university,R2
MVTKSCN6NMH3,james madison university,R2
FTMTDMBR29C7,johns hopkins university,R1
CFMMM5JM7HJ9,kansas state university,R1
V1WUYJCYJVJ4,kennesaw state university,R2
E13MDBKHLDB5,lehigh university,R2
SZAKFNU35ZX5,loma linda university,R2
PAMDY6DMVVE7,louisiana tech university,R2
MQSXELH2KMB6,loyola marymount university,R2
HKJCKTFJNBM7,marquette university,R2
HH1NQ1B5MPV3,marshall university,R2
